ID;Ano;INDE
5;2020;8.08
8;2020;8.38
11;2020;9.71
17;2020;7.77
18;2020;7.21
34;2020;7.7
36;2020;8.31
37;2020;6.68
46;2020;6.97
51;2020;8.96
60;2020;7.68
61;2020;5.6
75;2020;9.69
76;2020;8.96
78;2020;7.35
81;2020;7.39
83;2020;8.16
84;2020;8.75
85;2020;7.26
87;2020;8.19
88;2020;9.04
90;2020;7.07
91;2020;6.85
97;2020;7.39
100;2020;6.91
102;2020;7.97
103;2020;8.6
113;2020;7.69
118;2020;8.34
128;2020;5.85
133;2020;8.43
135;2020;7.8
151;2020;8.24
152;2020;7.96
153;2020;8.17
154;2020;5.88
156;2020;7.11
158;2020;6.06
164;2020;7.71
165;2020;8.43
168;2020;8.08
169;2020;7.8
193;2020;8.54
197;2020;8.83
200;2020;7.36
201;2020;7.72
212;2020;6.35
217;2020;8.94
219;2020;7.83
225;2020;8.85
229;2020;5.89
235;2020;8.13
241;2020;7.29
242;2020;6.71
246;2020;7.64
251;2020;8.58
262;2020;8.22
263;2020;8.39
266;2020;8.34
267;2020;8.37
273;2020;4.39
275;2020;6.4
277;2020;8.02
288;2020;6.84
293;2020;4.42
295;2020;7.59
296;2020;7.71
301;2020;8.85
305;2020;7.36
312;2020;8.51
313;2020;7.9
323;2020;6.05
332;2020;8.26
337;2020;8.95
340;2020;7.6
342;2020;8.13
345;2020;8.5
348;2020;7.79
359;2020;8.18
364;2020;7.81
365;2020;8.4
370;2020;8.61
373;2020;6.22
375;2020;9.34
377;2020;7.41
378;2020;7.97
381;2020;6.44
387;2020;6.29
388;2020;7.04
394;2020;5.93
396;2020;7.45
404;2020;8.32
406;2020;7.98
407;2020;8.29
416;2020;7.78
421;2020;7.14
424;2020;7.91
425;2020;7.13
437;2020;7.81
441;2020;7.6
447;2020;7.0
448;2020;7.51
449;2020;8.75
450;2020;6.96
455;2020;8.59
463;2020;8.29
469;2020;8.35
474;2020;8.03
477;2020;5.79
482;2020;8.34
483;2020;8.37
486;2020;5.86
490;2020;8.0
